Number,Player,Pos,HT,WT,Age,Current Team,YOS,Pre-Draft Team,Draft Status,Nationality
5,Precious Achiuwa,SF,8-Jun,235,22,Toronto Raptors,1,Memphis,2020 Rnd 1 Pick 20,Nigeria
4,Steven Adams,C,11-Jun,265,28,Memphis Grizzlies,8,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
13,Bam Adebayo,C,10-Jun,255,24,Miami Heat,4,Kentucky,2017 Rnd 1 Pick 14,United States
7,Santi Aldama,C,11-Jun,224,20,Memphis Grizzlies,0,Loyola (MD),2021 Rnd 1 Pick 30,Spain
21,LaMarcus Aldridge,FC,11-Jun,265,36,Brooklyn Nets,15,Texas,2006 Rnd 1 Pick 2,United States
6,Nickeil Alexander-Walker,SG,5-Jun,205,23,New Orleans Pelicans,2,Virginia Tech,2019 Rnd 1 Pick 17,Canada
7,Grayson Allen,SG,4-Jun,198,26,Milwaukee Bucks,3,Duke,2018 Rnd 1 Pick 21,United States
31,Jarrett Allen,C,11-Jun,248,23,Cleveland Cavaliers,4,Texas,2017 Rnd 1 Pick 22,United States
15,Jose Alvarado,G,1-Jun,179,24,New Orleans Pelicans,0,Georgia Tech,"2021 NBA Draft, Undrafted",United States
1,Kyle Anderson,PF,8-Jun,230,28,Memphis Grizzlies,7,UCLA,2014 Rnd 1 Pick 30,United States
34,Giannis Antetokounmpo,F,11-Jun,242,26,Milwaukee Bucks,8,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,Greece
43,Thanasis Antetokounmpo,SF,7-Jun,215,29,Milwaukee Bucks,3,Delaware 87ers,2014 Rnd 2 Pick 21,Greece
7,Carmelo Anthony,F,8-Jun,240,37,Los Angeles Lakers,18,Syracuse,2003 Rnd 1 Pick 3,United States
50,Cole Anthony,PG,3-Jun,190,21,Orlando Magic,1,North Carolina,2020 Rnd 1 Pick 15,United States
3,Ogugua Anunoby,SF,8-Jun,232,24,Toronto Raptors,4,Indiana,2017 Rnd 1 Pick 23,England
14,Dj Augustin,G,1-Jun,183,34,Houston Rockets,13,Texas,2008 Rnd 1 Pick 9,United States
9,Deni Avdija,SG,9-Jun,210,20,Washington Wizards,1,Maccabi Tel Aviv U18 (Israel),2020 Rnd 1 Pick 9,Israel
17,Joel Ayayi,G,5-Jun,180,22,Washington Wizards,0,Gonzaga,"2021 NBA Draft, Undrafted",France
